datetime,open,high,low,close/last,volume,market_adjustment%,daily_difference%,label
2021-06-01,233.48,254.98,227.07,249.02,9625610,-6.99922749823432,-6.3739204447506905,Buy
2021-06-02,248.88,294.0,244.3,282.24,16019220,-13.37314794298501,16.24094327145352,Sell
2021-06-03,265.71,274.43,242.1206,258.18,7999955,2.86779532846851,0.6909610071394638,Sell
2021-06-04,256.02,265.0,245.77,248.36,3637515,3.5587563356079737,-12.15644115772711,Buy
2021-06-07,258.0,282.0,255.2001,280.01,6051490,-8.597684822119136,5.703251805036459,Sell
2021-06-08,292.0,344.66,281.0,300.0,17439118,-2.8944330170826778,2.761672267016781,Sell
2021-06-09,303.12,328.0,291.51,302.56,13429309,-0.13276075006589672,22.231427807992965,Sell
2021-06-10,282.0,288.0,211.0,220.39,22980152,22.098667057927067,-26.93432274342117,Buy
2021-06-11,222.35,241.13,206.13,233.34,15580774,-4.835655685494103,7.981861730874758,Sell
2021-06-14,236.5,238.01,219.2,229.44,7132627,3.146206045380655,-1.645174647095168,Buy
2021-06-15,226.36,229.25,208.0,222.5,7301935,1.501031398285487,-5.684764098841809,Buy
2021-06-16,215.24,228.7305,209.0,222.97,5564827,-4.183732700556321,4.402073376255365,Sell
2021-06-17,224.0,233.66,221.48,223.59,4608573,0.2183406756990434,1.7586234786458212,Sell
2021-06-18,220.18,223.49,213.0,213.82,4320317,1.9769641543448646,,
